city_id,city_name,country,latitude,longitude,weather_date,temp,humidity,cloudiness,wind_speed
3393692,Itarema,BR,-2.92,-39.92,01/24/20,            81.05,68,41,7.99
2122262,Palana,RU,59.12,159.97,01/24/20,            -6.23,96,100,4.61
6089245,Norman Wells,CA,65.28,-126.83,01/24/20,            -5.8,76,90,6.93
3867427,Mayor Pablo Lagerenza,PY,-19.93,-60.77,01/24/20,            95.13,25,10,10.76
3406844,Baiao,BR,-2.79,-49.67,01/24/20,            78.51,95,100,4.41
6316343,Alta Floresta,BR,-9.88,-56.09,01/24/20,            78.8,94,75,3.36
6325494,Quebec,CA,46.81,-71.21,01/24/20,            25.38,79,75,10.29
6137462,Saint-Augustin,CA,51.23,-58.65,01/24/20,            6.19,73,0,13.8
1487332,Verkhnyaya Inta,RU,65.98,60.31,01/24/20,            1.72,96,99,10
4036284,Alofi,NU,-19.06,-169.92,01/24/20,            81.75,83,100,14.76
2188874,Russell,NZ,-35.26,174.12,01/24/20,            73.71,76,1,1.99
5895424,Bay Roberts,CA,47.6,-53.26,01/24/20,            26.87,68,40,12.75
1058381,Morondava,MG,-20.28,44.28,01/24/20,            76.3,89,96,2.42
1580240,Hue,VN,16.47,107.6,01/24/20,            67.32,96,100,2.06
86049,Jalu,LY,29.03,21.55,01/24/20,            54.46,63,0,5.35
2122574,Ola,RU,59.58,151.28,01/24/20,            -23.15,73,0,9.13
545728,Komsomolskiy,RU,43.98,46.7,01/24/20,            29.95,67,0,8.66
116402,Semnan,IR,35.57,53.4,01/24/20,            33.33,51,0,7.36
935214,Saint-Pierre,RE,-21.34,55.48,01/24/20,            76.78,100,100,24.16
1581047,Ha Tinh,VN,18.33,105.9,01/24/20,            73.38,88,79,12.57
3573374,The Valley,AI,18.22,-63.06,01/24/20,            81.01,69,40,5.82
609404,Khromtau,KZ,50.25,58.43,01/24/20,            1.63,96,84,10.09
1521315,Lisakovsk,KZ,52.54,62.49,01/24/20,            3.79,89,0,8.93
1512019,Aksarka,RU,66.56,67.8,01/24/20,            1.13,97,100,3.94
3397763,Jacareacanga,BR,-6.22,-57.75,01/24/20,            78.8,88,40,5.82
3441890,Departamento de Maldonado,UY,-34.67,-54.92,01/24/20,            82.4,51,20,9.17
2157698,Mildura,AU,-34.2,142.15,01/24/20,            59.85,62,0,4.7
2611060,Tvoroyri,FO,61.56,-6.81,01/24/20,            39.2,93,100,10.29
1648186,Bontang,ID,0.13,117.5,01/24/20,            79.81,83,33,10.27
3419842,Sisimiut,GL,66.94,-53.67,01/24/20,            9.54,94,100,2.17
1804651,Kunming,CN,25.04,102.72,01/24/20,            35.6,100,90,17.9
